Line,Category,Name,URL,Quote,Qty,Total,Remarks
1,Microcontroller,Adafruit Feather HUZZAH with ESP8266 - Stacking Headers,https://www.adafruit.com/product/3046,$18.95,1,$18.95,ESP8266 microcontroller development board
2,Microcontroller,Adafruit Feather HUZZAH with ESP8266 - Loose Headers,https://www.adafruit.com/product/2821,$14.95,1,$14.95,"Ditto, alternative to #1"
3,Peripheral,"[Monochrome 1.3"" 128x64 OLED graphic display]",https://www.adafruit.com/product/938,$19.95,1,$19.95,Provides graphical user interface
4,Peripheral,[0.96'' 128x64 OLED display module - 5 pack],https://www.amazon.com/dp/B0BFD4X6YV,$14.99,1,$14.99,"Ditto, alternative to #3"
5,Peripheral,Colorful Round Tactile Button Switch Assortment - 15 pack,https://www.adafruit.com/product/1009,$5.95,1,$5.95,Enables physical control
6,Peripheral,[Adafruit FeatherWing OLED - 128x64 OLED Add-on For Feather],https://www.adafruit.com/product/4650,$14.95,1,$14.95,"Screen with buttons, alternative to #3, #4, #5"
7,Peripheral,(Optional) Breadboard-friendly RGB Smart NeoPixel - Pack of 4,https://www.adafruit.com/product/1312,$7.95,1,$7.95,Colorful LED indicators
8,Accessory,(Optional) Lithium Ion Polymer Battery - 3.7v 500mAh,https://www.adafruit.com/product/1578,$7.95,1,$7.95,Portable power source
9,Supply,"[Breadboard - 830 tie points, 4 power rails]",https://www.amazon.com/dp/B0040Z4QN8,$8.75,1,$8.75,Project building space
10,Supply,"[Breadboard - 830 tie points, 4 power rails]",https://www.adafruit.com/product/239,$5.95,1,$5.95,"Ditto, alternative to #9"
11,Supply,(Optional) Adafruit Perma-Proto Full-sized Breadboard PCB - Single,https://www.adafruit.com/product/1606,$6.95,1,$6.95,"Permanent project building space, advanced alternative to #9, #10"
12,Supply,[Jumper Wire Kit],https://www.amazon.com/dp/B07CJYSL2T,$11.99,1,$11.99,Breadboard jumper wires
13,Supply,Half Size Breadboard + 78 Piece 22AWG Jumper Wire Bundle,https://www.adafruit.com/product/3314,$9.95,1,$9.95,"Ditto with breadboards, alternative to #12"
